Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence
night	Murder	Several Ghosts	True	True
night	Murder	Unknown	True	True
night	Fire and Destruction	Several Ghosts	False	True
night	Murder	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
Unknown		Unknown	True	False
morning	Violent or Tragic Deaths	Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Orb	True	True
Unknown	Sounds and Noises	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	True
Unknown	Murder	Unknown	True	True
night	Ghostly Sightings	Female Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True
night	Violent or Tragic Deaths	Unknown	True	False
Unknown		Unknown	False	True
Unknown	Ghostly Sightings	Several Ghosts	True	True
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
night	Violent or Tragic Deaths	Unknown	True	True
night	Mysterious Occurrences	Unknown	True	True
Unknown		Unknown	False	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
Unknown		Unknown	False	False
Unknown		Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
night	Violent or Tragic Deaths	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True
Unknown		Unknown	True	True
night	Object and Environmental Manipulation	Unknown	True	False
Unknown	Mysterious Occurrences	Orb	True	False
night	Object and Environmental Manipulation	Unknown	True	False
night	Ghostly Sightings	Several Ghosts	True	False
night	Violent or Tragic Deaths	Several Ghosts	False	True
Unknown	Sounds and Noises	Unknown	True	True
night	Sounds and Noises	Unknown	False	True
Unknown		Unknown	True	True
morning	Object and Environmental Manipulation	Several Ghosts	False	True
night	Murder	Unknown	False	True
night		Several Ghosts	False	True
Unknown	Violent or Tragic Deaths	Unknown	False	False
Unknown	Violent or Tragic Deaths	Unknown	True	True
Unknown	Murder	Unknown	True	False
Unknown		Unknown	False	False
Unknown	Murder	Child Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
Unknown	Sounds and Noises	Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False
Unknown		Unknown	True	False
night	Object and Environmental Manipulation	Unknown	True	False
night	Violent or Tragic Deaths	Orb	False	True
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
