QUANTITY	TIME	FAC	ORG	LOC	EVENT
['3-mile']	['late one night', 'late at night', 'the night']	['Honeycreek Road', 'Findlay Cemetery', '2 Mile', 'Seidman Park', 'the Ada Cemetery']	[]	['Egypt Valley', 'Honey Creek']	[]
[]	[]	[]	[]	[]	[]
['A mile']	['late at night', 'Late one night']	['Gorman Rd.']	[]	[]	[]
[]	['One night', 'the next morning']	[]	[]	[]	[]
[]	[]	[]	['Kappa Delta Sorority', 'The Kappa Delta Sorority']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['the early morning', 'midnight']	"['Friske', ""Hell's Bridge""]"	[]	['the Rogue River']	[]
[]	['midnight', 'night']	['Morrow Road']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['one night', 'the night']	[]	[]	[]	[]
[]	[]	['lake chapel']	[]	[]	[]
['about seventeen feet']	[]	[]	[]	[]	[]
[]	[]	['Jackson Ave', 'I-94']	['Mercywood']	[]	[]
[]	[]	['a Tribal Center']	[]	[]	[]
[]	[]	['Camp 8']	[]	[]	[]
[]	['the night']	"[""the Doctor's cottage"", ""the Doctor's Cottage""]"	['Upjohn Pharmaceauticals', 'Michigan State University', 'Pharmacia', 'Pfizer']	[]	[]
[]	[]	[]	[]	['East side']	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['The Richardi House', 'The Grand Victorian Bed & Breakfast']	['a Bed & Breakfast']	[]	[]
[]	['late at night']	['Rouge Power House', 'Miller road']	[]	[]	[]
[]	['late at night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['midnight', 'about 1-10 min']	['Denton Rd']	[]	[]	[]
[]	[]	['Denton Rd.']	[]	[]	[]
[]	['seconds']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
['2 miles']	['around 1 A.M.']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Ferris State University']	[]	[]
[]	['early morning hours']	[]	['Parks Cole Company']	[]	[]
['100 ft', 'about a mile', '16 mile', 'half a mile']	['12 midnight', 'every half hour on the hour', 'midnight']	['Woodward', 'Trowbridge']	[]	[]	[]
[]	[]	[]	['Sacred Heart Academy']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Point Iroquois Lighthouse']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['a split second']	[]	[]	[]	[]
[]	['about 9:00pm to', '3:00 am']	[]	[]	['oak ridge']	[]
[]	['late hours of the night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['rd.']	[]	[]	[]
[]	[]	['Denton Road']	[]	[]	[]
[]	[]	[]	"[""Old Frank's Nursery & Crafts""]"	[]	[]
[]	[]	[]	[]	[]	[]
['2 feet']	['night']	[]	[]	[]	[]
[]	[]	[]	['The Lamplights Inn']	['Central Lake']	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['the Charlotte Jr. High']	[]	['ISS']	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['1:00am in the morning']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['the morning', 'night']	[]	[]	[]	[]
[]	['late at night']	['the Sunflower Bridge']	[]	[]	[]
[]	['every night']	[]	[]	[]	[]
[]	['night']	['deer lake raquet club', 'dixie and white lake road']	[]	[]	[]
[]	['12:00 at night']	['Hayes and 18']	[]	[]	[]
[]	['one night', 'the morning', 'night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['closing hours']	[]	[]	[]	[]
[]	[]	['Forest Hill Road']	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['nights', 'about midnight']	['Shoefelt road']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
